epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4327.17,2.00594,3.60679,2.78391,1.71693,0,0.29846,0.20758,0.16853,0.07744,0.24396,0.15799,0.11031,0.03365,1.82759,3.25173,2.34645,1.57125,0,0.00999934,0.00333311,0.00999934,0.00333311,0.00999934,0.00333311,0.00999934,0.00333311
2,8473.34,1.98471,3.51368,2.54668,1.71781,0,0.36419,0.18336,0.1737,0.08233,0.29731,0.14543,0.11544,0.03628,1.77954,3.23157,2.37033,1.55418,0,0.0180194,0.00600647,0.0180194,0.00600647,0.0180194,0.00600647,0.0180194,0.00600647
3,12551,1.96917,3.48493,2.50939,1.71805,0,0.03535,0.46822,0.10418,0.04821,0.02241,0.31188,0.05799,0.01797,1.94901,3.7167,3.1853,1.74725,0,0.0240595,0.00801982,0.0240595,0.00801982,0.0240595,0.00801982,0.0240595,0.00801982
4,16481.8,1.92327,3.41929,2.4303,1.68296,0,0.26834,0.01128,0.00674,0.0033,0.11298,0.00798,0.00342,0.00096,2.61639,4.63187,4.73556,2.38896,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
5,20444.6,1.85753,3.33316,2.32432,1.62783,0,0.227,0.02206,0.00811,0.00388,0.10553,0.01279,0.00414,0.00125,2.58405,4.61203,4.68119,2.34057,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
6,24488.1,1.81342,3.27255,2.25471,1.58992,0,0.08222,0.17164,0.04062,0.0177,0.04298,0.10555,0.01895,0.00641,2.27058,4.25669,4.07474,2.04166,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
